frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
10,5,0.8277497530057 1176.880958798237 2793.7635545419284 1767.0,0.6785714285716 1623.892857142857 2680.464285714286 1677.0,0,0,0
11,5,0.0070930093507 1178.017652806858 2795.289798768919 1770.0,0.3571428571427 1626.7857142857142 2680.9285714285716 1680.0,0,0,0
12,5,0.1864362656956 1179.1543468154791 2796.81604299591 1773.0,0.035714285714 1629.6785714285713 2681.3928571428573 1683.0,0,0,0
13,5,0.3657795220406 1180.2910408241 2798.3422872229007 1776.0,0.714285714286 1632.5714285714287 2681.8571428571427 1685.0,0,0,0
14,5,0.5451227783856 1181.427734832721 2799.8685314498916 1779.0,0.3928571428573 1635.4642857142858 2682.3214285714284 1688.0,0,0,0
15,5,0.7244660347305 1182.5644288413419 2801.394775676882 1782.0,0.0714285714284 1638.357142857143 2682.785714285714 1691.0,0,0,0
16,5,0.9038092910755 1183.7011228499628 2802.921019903873 1784.0,0.75 1641.25 2683.25 1693.0,0,0,0
17,5,0.0831525474205 1184.837816858584 2804.447264130864 1787.0,0.4285714285716 1644.142857142857 2683.714285714286 1696.0,0,0,0
18,5,0.2624958037654 1185.9745108672048 2805.9735083578544 1790.0,0.1071428571427 1647.0357142857142 2684.1785714285716 1699.0,0,0,0
19,5,0.4418390601104 1187.1112048758257 2807.4997525848453 1793.0,0.785714285714 1649.9285714285713 2684.6428571428573 1701.0,0,0,0
20,5,0.6211823164554 1188.2478988844466 2809.025996811836 1796.0,0.464285714286 1652.8214285714287 2685.1071428571427 1704.0,0,0,0
21,5,0.8005255728003 1189.3845928930677 2810.552241038827 1799.0,0.1428571428573 1655.7142857142858 2685.5714285714284 1707.0,0,0,0
22,5,0.9798688291453 1190.5212869016887 2812.0784852658176 1802.0,0.8214285714284 1658.607142857143 2686.035714285714 1709.0,0,0,0
23,5,0.1592120854903 1191.6579809103096 2813.6047294928085 1805.0,0.5 1661.5 2686.5 1712.0,0.2583954632282257,MI51VSU,0.23200078350683262
24,5,0.2257868014076 1198.0231106194074 2813.672597213643 1810.0,0.0 1665.0 2687.0 1717.0,0.26352572441101074,MI51VSU,0.09605199264171166
25,5,0.8736417230584 1200.5306149027747 2813.587350173595 1811.0,0.0 1665.0 2687.0 1717.0,0.2589648962020874,NI51VSU,0.1327298340910064
26,5,0.84554682911 1204.3727463743694 2813.6606010474743 1814.0,0.75 1668.5 2686.25 1719.0,0,0,0
27,5,0.8174519351614 1208.214877845964 2813.7338519213536 1816.0,0.5 1672.0 2685.5 1722.0,0.27497127652168274,MN51VSU,0.13363139539524224
28,5,0.26515567351 1211.7541206488804 2814.9987690996822 1819.0,0.0 1676.5 2688.0 1727.0,0.2629149556159973,MV51VSU,0.23537356766261316
29,5,0.1040181843996 1215.5549972642737 2817.4221443207925 1823.0,0.75 1680.0 2691.25 1732.0,0,0,0
30,5,0.942880695289 1219.355873879667 2819.845519541903 1828.0,0.5 1683.5 2694.5 1736.0,0.2685953676700592,MT51VSU,0.04061675765720817
31,5,0.395757011631 1221.4651781824932 2820.6354273586076 1832.0,0.8333333333335 1686.1666666666667 2694.8333333333335 1739.0,0,0,0
32,5,0.8486333279725 1223.5744824853195 2821.4253351753123 1835.0,0.1666666666665 1688.8333333333333 2695.1666666666665 1741.0,0,0,0
33,5,0.301509644314 1225.6837867881459 2822.215242992017 1839.0,0.5 1691.5 2695.5 1744.0,0.2633611857891083,MI51VSV,0.015203704305132446
34,5,0.105757784274 1228.403739779324 2821.613531283152 1845.0,0.0 1695.0 2696.0 1749.0,0.2711680233478546,MD51VSU,0.1703918294630595
35,5,0.620849639691 1235.1023121865242 2823.996615249223 1850.0,0.0 1698.1666666666667 2698.3333333333335 1753.0,0,0,0
